Word,Vowel Ending,Number / ਵਚਨ,Grammar / ਵਯਾਕਰਣ,Gender / ਲਿੰਗ,Word Root,Type
ਤਿਸੁ,ਸੁ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,CoRelative / ਅਨੁਸੰਬੰਧ,Pronoun / ਪੜਨਾਂਵ
ਵਿਚਿ,ਵਿਚਿ,,In,Inside,Within,
ਗਿਆਨ,ਮੁਕਤਾ,Plural / ਬਹੁ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਰਤਨੁ,ੁ,Singular / ਇਕ,Qualitative ਗੁਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਇਕੁ,ਇਕੁ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਪਾਇਆ,ਆ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,NA,Verb / ਕਿਰਿਆ
ਕੋਟਿ,ਕੋਟਿ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,10 Million,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਮਹਾਦੇਵ,ਮੁਕਤਾ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਅਰੁ,ਅਰੁ,,And,,,Conjunction / ਯੋਜਕ
ਜਪਿ,ਿ,,Participle ਕਿਰਦੰਤ,Trans / ਨਪੁਂਸਕ,Perfect ਪੁਰਬ-ਪੁਰਨ (Root),Verb / ਕਿਰਿਆ
ਜਪਿ,ਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਜੀਵਾ,ਾ,Singular / ਇਕ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਸਤਿਗੁਰ,ਗੁਰ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਨਾਉ,ਉ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ
ਦੇਹ,ਮੁਕਤਾ,Singular / ਇਕ,Nominative ਕਰਤਾ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਅੰਧਾਰੀ,ੀ,Singular / ਇਕ,Qualitative ਗੁਣ,Masculine / ਪੁਲਿੰਗ,ਸਿਹਾਰੀ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ
ਅੰਧ,ਮੁਕਤਾ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਅੰਧ,ਮੁਕਤਾ,Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਅੰਧ,ਮੁਕਤਾ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਸੁੰਞੀ,ੀ,Plural / ਬਹੁ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
